店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
きて屋 庄内駅前店,庄内駅 122m,居酒屋、焼き鳥、おでん,庄内駅2分◆職人による炭火焼鳥と2種のダシを使ったおでん、バラエティ豊かな本格焼酎を堪能！,3.06,14,237,"￥3,000～￥3,999",-,大阪府豊中市庄内東町4-2-28
焼肉 日の出,庄内駅 91m,焼肉,【庄内駅30秒】精肉店直営の焼肉屋でお得に味わうA5ランク黒毛和牛◆少人数貸切可能な隠れ家,3.58,53,1891,"￥6,000～￥7,999",-,大阪府豊中市庄内東町1-7-22
お魚とおでんとお寿司1122 富久田や,庄内駅 33m,居酒屋、寿司、おでん,"【庄内駅より徒歩1分】新鮮なお魚を味わえ、しかも""リーズナブル""にご堪能頂けます！！",3.13,26,849,"￥3,000～￥3,999",-,大阪府豊中市庄内東町1-7-38
ニューリトルインディア 庄内店,庄内駅 109m,インド料理、インドカレー,,3.06,7,134,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町2-1-6 三和ビル 2F
ホルモン 焼肉 ガスステーション,庄内駅 157m,焼肉、ホルモン,【庄内駅3分】国産肉の焼肉と豊富な韓国料理をカジュアルな空間で満喫◆貸切要相談,3.02,1,23,"￥4,000～￥4,999",-,大阪府豊中市庄内東町4-3-3
バー コル,庄内駅 219m,バー,,3.04,6,53,"￥2,000～￥2,999",-,大阪府豊中市庄内東町3-8-16 カサ・ラティード 1F
THAI KICK,庄内駅 73m,アジア・エスニック,【庄内駅1分】自家製タレで味わう「カオマンガイ」とタイ料理◆デリバリーやテイクアウトも◎,3.06,9,140,"￥4,000～￥4,999",-,大阪府豊中市庄内東町1-8-6
焼肉大衆酒場 真 肉焼屋 豊中庄内店,庄内駅 147m,焼肉、ホルモン、居酒屋,庄内駅2分◆大衆感溢れる店内で、A5ランク黒毛和牛をリーズナブルに楽しむ！生ビール209円,3.21,52,1798,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-4-9
焼鳥田ばた,庄内駅 152m,焼き鳥、居酒屋,【庄内駅徒歩1分】産地直送の新鮮な焼鳥をお手軽に◆“ちょっと寄り道”にちょうどいい居酒屋。,3.04,4,34,"￥3,000～￥3,999",-,大阪府豊中市庄内東町2-2-9
ナマステ・エベレスト,庄内駅 244m,インド料理、インドカレー,庄内駅5分◆異国情緒あふれる店内で本格カレーとナンを満喫◎駐車場完備！1時間無料サービス有,3.09,24,340,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町1-1-16
アンフィニ,庄内駅 103m,ビストロ、カフェ,,3.07,12,291,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市庄内東町1-7-27 2F
さけともまるひげ,庄内駅 155m,居酒屋、鳥料理、日本酒バー,日本酒飲みたい人、このひげと～まれ！！ 庄内駅東口より徒歩3分ぐらい。 ◎,3.07,13,337,"￥2,000～￥2,999",-,大阪府豊中市庄内東町1-4-3 アメニティ豊中 1F
カリトロ 庄内店,庄内駅 96m,たこ焼き,,3.06,13,188,-,～￥999,大阪府豊中市庄内東町1-7-22
麺や 轍,庄内駅 164m,ラーメン,,3.16,35,538,～￥999,～￥999,大阪府豊中市庄内東町2-2-10
カフェ レスト 家電住まいる館YAMADA豊中店,庄内駅 237m,カフェ,,3,2,12,-,～￥999,大阪府豊中市庄内東町2-7-10
バーガーキング 庄内駅前店,庄内駅 86m,ハンバーガー,,3.01,5,26,-,-,大阪府豊中市庄内東町2-1-1
豊市商店,庄内駅 75m,韓国料理,,3.02,4,75,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
庄内居酒屋くるくる,庄内駅 158m,居酒屋,,3.07,5,68,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-2-10 2F
おどりや 庄内店,庄内駅 117m,居酒屋、海鮮、ちゃんこ鍋,,3.08,15,236,"￥2,000～￥2,999",-,大阪府豊中市庄内東町2-1-14
ラ ファミーユ,庄内駅 163m,バー,,3.01,3,45,-,-,大阪府豊中市庄内東町4-3-4
アライラツー,庄内駅 143m,ダイニングバー,,,8,,-,-,大阪府豊中市庄内東町2-2-8 2F
はまゆう,庄内駅 77m,その他,,,1,,-,-,大阪府豊中市庄内東町1-7-19
活魚 魚重,庄内駅 77m,その他,,,1,5,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
居酒屋 ハンちゃん 庄内店,庄内駅 128m,居酒屋、ダイニングバー,,,4,,"￥1,000～￥1,999",-,大阪府豊中市庄内東町4-2-23 2F
鯖や 庄内駅前店,庄内駅 19m,棒寿司,,3,1,39,-,-,大阪府豊中市庄内東町1-10
hmc-café,庄内駅 209m,カフェ,,3.02,1,21,-,-,大阪府豊中市庄内東町4-2-15
和気逢々,庄内駅 170m,居酒屋,,,15,,-,-,大阪府豊中市庄内東町2-6-3
中国郷菜 壺厨天,庄内駅 148m,中華料理,,3.36,77,2859,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-2-13
韓国料理 鳳仙花,庄内駅 22m,韓国料理,,3.02,2,38,-,-,大阪府豊中市庄内東町1-9-18
俺の麺,庄内駅 158m,食堂,,3.01,2,28,-,-,大阪府豊中市庄内東町2-2-12
キャメルクラッチ,庄内駅 128m,ラーメン,,3.08,17,185,-,"￥1,000～￥1,999",大阪府豊中市庄内東町4-2-23 2F
たこ焼き ひさご,庄内駅 108m,たこ焼き,,3,4,40,-,-,大阪府豊中市庄内東町2-1-7
カフェ&バー ヒマワリ フクダヤ,庄内駅 22m,カフェ,,3,2,34,-,"￥1,000～￥1,999",大阪府豊中市庄内東町1-9-19
ヘベレケ,庄内駅 208m,立ち飲み,,,1,16,-,-,大阪府豊中市庄内東町2-6-13
BOSS,庄内駅 102m,カレー,,3.32,119,2591,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-1-23
BAKERIES LAB. 庄内店,庄内駅 199m,パン,,3,5,28,-,-,大阪府豊中市庄内東町4-13-22
ハチ公大志,庄内駅 95m,お好み焼き,,,1,10,-,-,大阪府豊中市庄内東町2-1-23
karaoke&dining たかちゃん,庄内駅 145m,居酒屋,,,,,-,-,大阪府豊中市庄内東町2-2-8 牧酒業ビル 2F
うなぎのふく山,庄内駅 155m,うなぎ,,3.12,7,275,"￥3,000～￥3,999","￥3,000～￥3,999",大阪府豊中市庄内東町2-2-12
ブールミッシュ 庄内店,庄内駅 118m,ケーキ、マカロン、洋菓子,,3.03,11,82,-,-,大阪府豊中市庄内東町2-1-10 1F
てっぱん,庄内駅 36m,居酒屋,,3.02,1,8,-,-,大阪府豊中市庄内東町1-7-38
鶏や 坂本,庄内駅 136m,居酒屋、焼き鳥,,3.01,2,127,-,-,大阪府豊中市庄内東町1-6-9
肉の雅屋,庄内駅 29m,その他,,,1,25,-,-,大阪府豊中市庄内東町1-9-16
キムチ屋 鳳仙花,庄内駅 22m,その他,,,5,,-,-,大阪府豊中市庄内東町1-9-18
居酒屋 義経,庄内駅 142m,居酒屋、鍋、焼肉,,,39,,"￥2,000～￥2,999",-,大阪府豊中市庄内東町2-2-20 2F
スライヴ,庄内駅 153m,居酒屋,,,5,,-,-,大阪府豊中市庄内東町2-3-16
ええとこ豆冨店,庄内駅 52m,その他,,3.02,3,61,-,-,大阪府豊中市庄内東町1-7-33
サンチョパンサ 庄内店,庄内駅 96m,喫茶店、カフェ,,3.09,13,137,-,～￥999,大阪府豊中市庄内東町2-1-23
けむり屋,庄内駅 153m,焼き鳥、鳥料理,,3,2,42,-,-,大阪府豊中市庄内東町2-2-13
王道居酒屋 のりを 庄内店,庄内駅 119m,居酒屋、もつ鍋、焼き鳥,,3.03,15,212,"￥2,000～￥2,999",-,大阪府豊中市庄内東町2-4-1 ２Ｆ
宮田酒店,庄内駅 92m,立ち飲み,,,1,75,-,-,大阪府豊中市庄内東町1-9-9
豊南寿司,庄内駅 74m,寿司,,3.04,7,33,-,-,大阪府豊中市庄内東町1-7-19
浜焼太郎 豊中庄内店,庄内駅 113m,居酒屋、海鮮、日本料理,,3.01,4,122,"￥2,000～￥2,999",-,大阪府豊中市庄内東町2-1-15
daidokoro,庄内駅 114m,立ち飲み,,3.05,3,121,-,-,大阪府豊中市庄内東町2-4-2
鯨肉専門店 くじらの田井,庄内駅 74m,その他,,3.01,1,67,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
昼呑み 丸屋 庄内銀座酒場,庄内駅 33m,居酒屋、串揚げ、海鮮,,3.08,13,438,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町1-7-39
駅前スタンド 庄内屋,庄内駅 115m,ダイニングバー,,,10,,-,-,大阪府豊中市庄内東町1-4-20
満,庄内駅 107m,お好み焼き,,,5,,-,-,大阪府豊中市庄内東町1-6-2
酣処それなり,庄内駅 168m,立ち飲み,,3.02,2,10,-,-,大阪府豊中市庄内東町2-3-10
たつみ,庄内駅 120m,食堂,,3,2,16,-,-,大阪府豊中市庄内東町4-2-28
炭火酒場おにまる,庄内駅 158m,居酒屋,,3.04,2,27,-,-,大阪府豊中市庄内東町2-2-12
寿し豊,庄内駅 35m,寿司,,3.09,23,385,"￥3,000～￥3,999",～￥999,大阪府豊中市庄内東町1-9-21
宇治豊香園,庄内駅 62m,その他,,,1,3,-,-,大阪府豊中市庄内東町1-7-19 豊南市場内
スギドラッグ 庄内東店,庄内駅 71m,その他,,,,,-,-,大阪府豊中市庄内東町1-7-19
天丼専門店 てんき 庄内駅前店,庄内駅 116m,天丼,,3.26,57,622,～￥999,～￥999,大阪府豊中市庄内東町2-2-1
やすらぎ,庄内駅 271m,居酒屋,,,7,,-,-,大阪府豊中市庄内東町5-1-22
吉秀榮壽堂,庄内駅 75m,和菓子,,3.01,1,10,-,-,大阪府豊中市庄内東町1-7-19
いか焼のいか太郎,庄内駅 101m,お好み焼き,,3.09,8,92,-,-,大阪府豊中市庄内東町2-1-23
鶏白湯そば 鴛鴦,庄内駅 118m,ラーメン,,3.16,42,933,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町4-2-28
ヤキトリトオデン,庄内駅 120m,焼き鳥、おでん,,,10,,-,-,大阪府豊中市庄内東町4-2-28
高橋商店,庄内駅 75m,その他,,3.01,1,9,-,-,大阪府豊中市庄内東町1-7-19
おうちごはん とと。,庄内駅 134m,居酒屋,,,6,,-,-,大阪府豊中市庄内東町2-2-4 2F
庄内マグナム,庄内駅 152m,ハンバーガー,,3,2,21,-,-,大阪府豊中市庄内東町2-2-9
大分からあげ わん,庄内駅 291m,からあげ、鳥料理、弁当,,3.01,9,135,～￥999,～￥999,大阪府豊中市庄内東町5-1-19
鳥富,庄内駅 68m,その他,,3.01,1,16,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
またたび堂,庄内駅 23m,立ち飲み,,3.25,25,619,"￥2,000～￥2,999",-,大阪府豊中市庄内東町1-9-18
みしま寿司,庄内駅 180m,寿司,,3.03,3,59,"￥4,000～￥4,999",-,大阪府豊中市庄内東町2-6-7
立浪一番,庄内駅 128m,ちゃんこ鍋,,3.68,197,11075,"￥5,000～￥5,999",-,大阪府豊中市庄内東町2-1-6
立呑み ふる里の家,庄内駅 39m,立ち飲み、韓国料理,,3.06,6,114,"￥1,000～￥1,999",-,大阪府豊中市庄内東町1-7-37
おいどん 庄内店,庄内駅 150m,居酒屋,,3.04,4,89,-,-,大阪府豊中市庄内東町2-2-8
spice＆cafe SidMid,庄内駅 144m,スープカレー、カレー、カフェ,,3.55,299,10981,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町1-5-8
本格炭火焼鳥 松家,庄内駅 156m,焼き鳥、水炊き、丼,,3.06,10,194,"￥3,000～￥3,999",-,大阪府豊中市庄内東町2-4-8
麺屋 縁結び,庄内駅 49m,ラーメン,,3.01,12,179,-,"￥1,000～￥1,999",大阪府豊中市庄内東町1-9-23
G.Gキッチン,庄内駅 52m,洋食、ハンバーグ、オムライス,,3.2,20,477,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町1-8-13
Arome 庄内店,庄内駅 107m,パン、サンドイッチ,,3.06,25,132,-,-,大阪府豊中市庄内東町1-7-27
石川屋,庄内駅 75m,鳥料理、焼き鳥,,3.01,2,19,-,-,大阪府豊中市庄内東町1-7-19 豊南市場内
大分からあげと鉄板焼 庄内応援団 勝男,庄内駅 118m,居酒屋、からあげ,,3,2,33,-,-,大阪府豊中市庄内東町4-2-27
東町珈琲店,庄内駅 175m,喫茶店、パンケーキ,,3.04,6,201,-,～￥999,大阪府豊中市庄内東町4-13-25
しゅんのすけ,庄内駅 138m,ラーメン,,3.55,264,6324,～￥999,～￥999,大阪府豊中市庄内東町4-2-23
ちょい呑みできるクレープ屋さん,庄内駅 109m,クレープ・ガレット、カフェ,,3.07,13,181,"￥2,000～￥2,999",～￥999,大阪府豊中市庄内東町2-1-7
どんどん,庄内駅 141m,お好み焼き、焼きそば,,3.05,10,110,-,～￥999,大阪府豊中市庄内東町2-2-7
ジビエカレーの店COCO,庄内駅 140m,カレー,,,10,,-,-,大阪府豊中市庄内東町2-2-20
カレー屋 グランドセントラル,庄内駅 179m,カレー,,3.37,56,1866,～￥999,～￥999,大阪府豊中市庄内東町2-6-7
ファミリーマート 庄内駅東店,庄内駅 85m,コンビニ・スーパー,,,1,3,-,-,大阪府豊中市庄内東町2-1-3
マクドナルド 庄内店,庄内駅 109m,ハンバーガー,,3.1,79,2040,～￥999,～￥999,大阪府豊中市庄内東町2-4-1
居酒屋 コロちゃん,庄内駅 157m,居酒屋,,,1,19,-,-,大阪府豊中市庄内東町4-3-3 第6伊藤ビル 1F
スパイス食堂 ナムナム,庄内駅 24m,カレー,,3.26,77,1950,"￥2,000～￥2,999",～￥999,大阪府豊中市庄内東町1-9-17
まるごかまぼこ,庄内駅 77m,惣菜・デリ,,3,1,6,-,-,大阪府豊中市庄内東町1-7-19 豊南市場
餃子の王将 庄内駅前店,庄内駅 35m,餃子、中華料理,,3.03,24,146,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町1-9-21
ジャガーズホットドッグ,庄内駅 126m,ホットドッグ、パン,,3.04,4,288,-,-,大阪府豊中市庄内東町2-2-23
くすさん 庄内店,庄内駅 232m,中華料理,,3.34,56,2136,～￥999,～￥999,大阪府豊中市庄内東町4-13-17
ファミリーマート 庄内東町四丁目店,庄内駅 131m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府豊中市庄内東町4-2-25
Cafe Gaden Nanan,庄内駅 389m,カフェ,,3.06,6,88,-,-,大阪府豊中市庄内東町2-7-27
ひろ,庄内駅 117m,レストラン,,,2,16,-,-,大阪府豊中市庄内東町4-1-18
日の出精肉店,庄内駅 95m,その他,,,1,14,-,-,大阪府豊中市庄内東町1-7-22
烈火 本店,庄内駅 147m,ラーメン、つけ麺、油そば・まぜそば,,3.69,1278,30730,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-2-14
勝庄,庄内駅 306m,うどん、食堂,,3.07,7,102,-,-,大阪府豊中市庄内東町1-1-10
カフェ マタンゴ,庄内駅 291m,カフェ、カレー,,3.08,13,483,-,"￥1,000～￥1,999",大阪府豊中市庄内東町5-1-20
まるわ,庄内駅 77m,からあげ、揚げ物,,3.01,1,8,-,-,大阪府豊中市庄内東町1-9-10
KC KITCHEN 庄内店,庄内駅 367m,インド料理、インドカレー、ネパール料理,,,,,-,-,大阪府豊中市庄内東町5-10-37
たこ焼き　千両,庄内駅 117m,たこ焼き、お好み焼き,,3,2,44,-,-,大阪府豊中市庄内東町4丁目1-18
ジャンカラ 庄内駅東口店,庄内駅 74m,カラオケ,,3,2,9,-,-,大阪府豊中市庄内東町2-1-2 HeaRth One BLDG 7F・8F
BAR B→B弾,庄内駅 128m,バー,,,6,,-,-,大阪府豊中市庄内東町4-2-23 2F
一力寿し,豊中市,寿司,,,4,,-,-,大阪府豊中市庄本町1-4-22
ドリーム喫茶店,豊中市,喫茶店,,3.01,2,8,-,-,大阪府豊中市庄本町3-3-15
恋人,豊中市,喫茶店,,,2,,-,-,大阪府豊中市庄本町1-9-5
ポムータ,服部天神駅 854m,喫茶店、カフェ,,,1,18,-,-,大阪府豊中市城山町1-10-18
Cavolo,服部天神駅 588m,バル、カフェ、バー,★大人のお店です★喫煙可能店舗(分煙有)※20歳未満の方はご入店頂けません※★,3.04,9,493,"￥2,000～￥2,999",～￥999,大阪府豊中市城山町2-7-2
火木堂,服部天神駅 621m,たこ焼き,,3.05,4,31,-,-,大阪府豊中市城山町2-6-7
創作和食 示右,服部天神駅 834m,海鮮、創作料理、しゃぶしゃぶ,,3.04,2,101,"￥3,000～￥3,999",-,大阪府豊中市城山町1-10-18 グリーンハイツ2 1F
カフェ ステーン,箕面船場阪大前駅 743m,カフェ、ケーキ、パスタ,,3.08,11,610,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里北町2-20-14-105 北町近隣センター内
味処 和 千里中央店,千里中央駅 654m,居酒屋、海鮮、日本料理,「割烹ほどきどらず、居酒屋ほどくだけず」旬な食材を。千里中央駅10分/個室・喫煙・駐車場◎,3.51,156,6759,"￥5,000～￥5,999",-,大阪府豊中市新千里西町3-2-12
関西メディカルスカイハウス,千里中央駅 358m,レストラン,,,1,,-,-,大阪府豊中市新千里西町1-1-7-3 10F
ハリパリワール,千里中央駅 663m,インドカレー,,3.12,19,291,"￥1,000～￥1,999",～￥999,大阪府豊中市新千里西町3-2-2
梅の花 千里中央店,千里中央駅 49m,豆腐料理、日本料理、しゃぶしゃぶ,和の粋を感じる大小様々な個室《２名様用～最大36名様迄》シルクのような出来立て湯葉をどうぞ,3.08,63,1177,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-1-5 大阪モノレール千里中央ビル　１Ｆ・Ｂ１Ｆ
がんこ和食 千里中央店,千里中央駅 96m,居酒屋、寿司、海鮮,【千里中央駅 2番出口】本格懐石をカジュアルに。飲み放題付コースも多数で宴会利用に最適です◎,3.08,99,828,"￥2,000～￥2,999",-,大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル2F
串家物語 ＬＡＢＩ千里店,千里中央駅 518m,串揚げ、居酒屋、ビュッフェ,【LABI千里 4F】「揚げる楽しさ、選ぶわがまま！」 すべてのメニューが食べ放題！！,3.01,38,575,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-2-20 LABI千里 4F
千里中央 海鮮食堂おーうえすと,千里中央駅 257m,海鮮、居酒屋、食堂,【千里中央駅直結！徒歩30秒以内】漁港直送鮮魚が旨い！毎日昼飲みもできる！海鮮居酒屋食堂,3.4,167,2619,"￥3,000～￥3,999",～￥999,大阪府豊中市新千里東町1-3-20 B1F
甘太郎 千里中央店,千里中央駅 92m,居酒屋、焼肉、しゃぶしゃぶ,各線千里中央駅からスグ♪あなたの「いつもの居酒屋」に！,3.06,89,1536,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル　２２Ｆ
SALVATORE CUOMO & BAR　千里中央,千里中央駅 93m,ピザ、イタリアン、ビュッフェ,世界的祭典「PIZZAFEST」で最優秀賞を受賞◆ナポリ薪窯ピッツァが楽しめるお店◎,3.32,156,6494,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-1-3 SENRITOよみうり 　2F
千里中央海鮮食堂 はなれ おーうえすと,千里中央駅 271m,居酒屋、海鮮、寿司,2025年11月1日オープン❗️＜喫煙室完備＞漁港直送鮮魚を味わえる海鮮居酒屋食堂っ！,3.07,7,164,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-20 せんちゅうパル B1F 17区画
KICHIRI 千里中央,千里中央駅 105m,居酒屋、海鮮、イタリアン,【1月26日空席ございます！】新年会・歓送迎会でのご利用、記念日のサプライズも承ります！,3.06,62,1979,"￥3,000～￥3,999",-,大阪府豊中市新千里東町1-3-11 せんちゅうパル 3F
和牛炙り焼割烹せんりや,千里中央駅 145m,日本料理、焼肉、居酒屋,,3.34,90,4681,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-149 せんちゅうパル 1F
千里菫,千里中央駅 341m,洋食、ステーキ、イタリアン,,3.44,194,5072,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-23 せんちゅうパルB1 23号
食道園 千里中央店,千里中央駅 429m,焼肉、韓国料理、ホルモン,【千里中央駅3分】焼肉発祥のお店で部位ごとに味付けする伝統の味を堪能。個室完備で宴会にも,3.08,75,1022,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-4-2 千里ライフサイエンスセンタービル 2F
エプロント モノウェル千里中央店,千里中央駅 14m,カフェ,,3.06,27,212,"￥1,000～￥1,999",～￥999,大阪府豊中市新千里東町1-5-4 大阪モノレール千里中央駅
ステーキ&ビストロ 千里中央 SEN℃,千里中央駅 900m,ビストロ、パスタ、ステーキ,千里中央の自然溢れる森の中でパンブッフェと生パスタと豪快ステーキを楽しむステーキビストロ,3.47,471,33518,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市新千里東町3-8-8 千里中央公園
炭火焼肉・韓国料理 KollaBo 千里中央店,千里中央駅 503m,焼肉、韓国料理、居酒屋,日本で唯一、韓国本場の17老舗有名店がコラボ出店！老舗専門店の最高の味！LAカルビ初上陸！,3.06,79,2235,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-20 ヤマダ電機 LABI 千里中央店 4F
白木屋 千里中央南口駅前店,千里中央駅 110m,居酒屋、海鮮、創作料理,くつろぎの空間で、楽しいお時間をお過ごしください。,3.05,37,484,"￥2,000～￥2,999",-,大阪府豊中市新千里東町1-3-302 せんちゅうパル　３Ｆ
千の里休,千里中央駅 517m,そば、居酒屋、日本料理,そばの概念を超えるオリジナルの一杯を。,3.21,34,798,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-20
ファミリーマート 千里中央北店,千里中央駅 436m,コンビニ・スーパー,,3.03,6,15,-,-,大阪府豊中市新千里東町1-3-240
タコゾウ,千里中央駅 239m,たこ焼き,,3.09,31,412,～￥999,～￥999,大阪府豊中市新千里東町1-3 せんちゅうパル 1F
天天,千里中央駅 514m,中華料理、飲茶・点心、ビュッフェ,,3.18,63,702,"￥1,000～￥1,999",-,大阪府豊中市新千里東町1-2-20 LABI千里 4F
サイゼリヤ LABI千里店,千里中央駅 541m,イタリアン、ファミレス、パスタ,,3.06,34,204,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-6
we♡donut 千里中央,千里中央駅 178m,ドーナツ,,3.43,80,1680,～￥999,～￥999,大阪府豊中市新千里東町1-3-207 2F 南広場前せんちゅうパル
デリカKYK 千里阪急店,千里中央駅 288m,とんかつ、弁当,,3.01,7,46,-,～￥999,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
黒船 千里阪急店,千里中央駅 270m,和菓子,,3.01,11,78,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
洋麺屋 ピエトロ 千里中央店,千里中央駅 333m,イタリアン、パスタ、ピザ,,3.08,80,1009,"￥1,000～￥1,999",-,大阪府豊中市新千里東町1-3 せんちゅうパル 2F
ファミリーマート せんちゅうパル店,千里中央駅 252m,コンビニ・スーパー,,3,1,1,-,-,大阪府豊中市新千里東町1-3 せんちゅうパル 1F
ひゃくばん 千里の台所,千里中央駅 187m,居酒屋、海鮮、創作料理,,3.24,80,1091,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1-3 せんちゅうPAL 1番街 203
萩月 千里阪急店,千里中央駅 265m,和菓子,,,7,,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
らーめん 熊五郎 せんちゅうパル店,千里中央駅 181m,ラーメン、餃子、飲茶・点心,,3.29,132,1362,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3 せんちゅうパル B1F
スターバックス コーヒー 千里中央店,千里中央駅 126m,カフェ,,3.06,42,289,～￥999,～￥999,大阪府豊中市新千里東町1-1-3 SENRITOよみうり2F
双樹 阪急百貨店千里中央店,千里中央駅 271m,弁当、惣菜・デリ,,3.05,8,89,-,-,大阪府豊中市新千里東町1-5-1 千里阪急百貨店 B1F
アフタヌーンティー・ティールーム 千里阪急,千里中央駅 249m,カフェ、ケーキ、パスタ,,3.06,40,499,-,"￥1,000～￥1,999",大阪府豊中市新千里東町1-5-1 千里阪急 1F
香豚煮本舗まつおか 阪急千里店,千里中央駅 265m,惣菜・デリ、弁当,,,10,,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
コラボひろば交流カフェ,千里中央駅 349m,カフェ,,3.04,5,15,-,～￥999,大阪府豊中市新千里東町1-2-2 千里文化センター 2F
イルコンチェルト,千里中央駅 406m,バル、イタリアン,,3.15,15,260,-,-,大阪府豊中市新千里東町1-3-326 せんちゅうパル 3F
SENRIガーデンテラス,千里中央駅 244m,洋食、カフェ,,3.09,23,413,-,"￥2,000～￥2,999",大阪府豊中市新千里東町1-5-1 千里阪急 5F
祖谷庄 千寿庵 千里中央店,千里中央駅 248m,和菓子,,3.03,6,40,-,-,大阪府豊中市新千里東町1-3-25 北大阪急行千里中央駅 ホーム南
千里しゃぶちん 本店,千里中央駅 141m,しゃぶしゃぶ,千里中央駅から徒歩1分◆こだわりの牛肉や熟成豚を、一人鍋しゃぶしゃぶで贅沢に堪能！,3.23,27,371,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-3-4 せんちゅうパル B1F
Harbor101,千里中央駅 932m,カフェ、パンケーキ,,3.04,2,33,-,-,大阪府豊中市新千里東町3-6-101
肉工房 千里屋 ホルモンバル,千里中央駅 141m,ホルモン、居酒屋、立ち飲み,,3.41,225,4890,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1-3 せんちゅうパル 南側 1Ｆ
柿千 千里阪急店,千里中央駅 287m,寿司、郷土料理,,3.04,7,38,-,-,大阪府豊中市新千里東町1-5-1 千里阪急
ヒロコーヒー 千里阪急店,千里中央駅 254m,カフェ、ケーキ,,3.01,6,134,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
京 嵯峨野 竹路庵 千里阪急店,千里中央駅 271m,和菓子,,3.03,3,35,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
聚楽,千里中央駅 219m,中華料理,,3.27,85,845,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3 せんちゅうパル B1F
ビナスタカフェ,千里中央駅 352m,カフェ,,3.05,8,70,-,～￥999,大阪府豊中市新千里東町1-3-19 せんちゅうパル B1F
銀座ハゲ天 千里阪急店,千里中央駅 294m,天ぷら,,3.01,3,35,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F
なだ万厨房 千里阪急店,千里中央駅 284m,弁当、惣菜・デリ,,3.01,5,30,-,-,大阪府豊中市新千里東町1-5-1 阪急百貨店千里店 B1F
たきち,千里中央駅 535m,焼き鳥、鳥料理,,3.19,31,769,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-20 LABI千里 4F
リトルマーメイド 千里中央店,千里中央駅 253m,パン,,3.03,29,174,～￥999,-,大阪府豊中市新千里東町1-3 せんちゅうパル 1F
明石八,千里中央駅 185m,海鮮、串揚げ、居酒屋,千里中央駅直ぐ！漁港直送の鮮魚が自慢♪お酒はリーズナブルな価格！こだわりの日本酒も◎,3.46,284,6781,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1丁目3 千中パルB1
